KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000866001,T000866002,T000866003,T000866004,T000866005,T000866006,T000866007,T000866008,T000866009,T000866010,T000866011,T000866012,T000866013
,,,,,,,総数,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業
1235111003,3,石狩市,樽川四条３丁目,0,,,170,3,21,51,25,16,1,4,7,9,9,14,10
12351120,2,石狩市,厚田区濃昼,2,1130,,X,X,X,X,X,X,X,X,X,X,X,X,X
12351130,2,石狩市,厚田区安瀬,1,,1120,6,-,-,-,-,-,-,4,-,-,1,1,-
12351140,2,石狩市,厚田区厚田,0,,,217,3,13,22,17,33,5,73,14,4,16,17,-
12351150,2,石狩市,厚田区別狩,0,,,132,-,25,17,9,24,3,28,1,-,8,14,3
12351160,2,石狩市,厚田区小谷,0,,,5,1,2,-,-,1,-,1,-,-,-,-,-
12351170,2,石狩市,厚田区古潭,0,,,30,-,1,1,2,2,-,17,-,2,3,2,-
12351180,2,石狩市,厚田区嶺泊,0,,,16,-,-,1,1,3,-,7,-,1,3,-,-
12351190,2,石狩市,厚田区望来,0,,,202,4,16,14,9,21,3,91,15,6,13,9,1
12351200,2,石狩市,厚田区聚富,0,,,377,8,32,33,28,39,2,88,43,27,35,40,2
12351210,2,石狩市,浜益区浜益,1,,121000;121001,134,3,18,21,8,28,7,25,11,-,6,7,-
1235121000,3,石狩市,浜益区浜益,2,1210,,X,X,X,X,X,X,X,X,X,X,X,X,X
1235121001,3,石狩市,浜益区浜益群別川上流域,2,1210,,X,X,X,X,X,X,X,X,X,X,X,X,X
1235121002,3,石狩市,浜益区浜益本沢川、茂生川上流域,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
12351220,2,石狩市,浜益区実田,0,,,48,1,3,6,1,2,1,23,4,4,1,2,-
1235122000,3,石狩市,浜益区実田,0,,,41,-,3,5,1,1,1,19,4,4,1,2,-
1235122001,3,石狩市,浜益区実田御料地,0,,,7,1,-,1,-,1,-,4,-,-,-,-,-
12351230,2,石狩市,浜益区川下,0,,,149,3,10,18,9,32,3,25,17,10,9,12,1
1235123000,3,石狩市,浜益区川下,0,,,113,2,4,11,7,26,2,20,14,9,6,12,-
1235123001,3,石狩市,浜益区川下毘砂別,0,,,36,1,6,7,2,6,1,5,3,1,3,-,1
